AET,Avionics Electrical Technician
AMT,Aviation Maintenance Technician
AST,Aviation Survival Technician
BM,Boatswain's Mate
CS,Culinary Specialist
DC,Damage Controlman
DV,Diver
EM,Electrician's Mate
ET,Electronics Technician
GM,Gunner's Mate
HST,Health Services Technician
IS,Intelligence Specialist
IT,Information Systems Technician
ME,Marine Enforcement Specialist
MK,Machinery Technician
MST,Marine Science Technician
MU,Musician
OS,Operations Specialist
PA,Public Affairs Specialist
SK,Storekeeper
YN,Yeoman
IV,Investigator
